ticker,name,analyst_sector,valuation_family,sector_source,confidence,kospi200_sector,dart_sector,dart_industry_code,ts2000_sector,override_sector,override_note
001230,동국홀딩스(주),Unclassified,common_equity,fallback,0.4,,,,,,
001250,(주)지에스글로벌,Unclassified,common_equity,fallback,0.4,,,,,,
001260,남광토건(주),Unclassified,common_equity,fallback,0.4,,,,,,
001270,부국증권(주),Unclassified,common_equity,fallback,0.4,,,,,,
001290,(주)상상인증권,Unclassified,common_equity,fallback,0.4,,,,,,
001300,제일모직(주),Unclassified,common_equity,fallback,0.4,,,,,,
001310,풍림산업(주),Unclassified,common_equity,fallback,0.4,,,,,,
001340,피케이씨(주),Unclassified,common_equity,fallback,0.4,,,,,,
001360,삼성제약(주),Unclassified,common_equity,fallback,0.4,,,,,,
001370,FnC코오롱(주),Unclassified,common_equity,fallback,0.4,,,,,,
001380,(주)에스지글로벌,Unclassified,common_equity,fallback,0.4,,,,,,
